,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
639,22.5,1853,"Seth, West Virginia"
640,22.5,308,"Nemours, West Virginia"
641,22.5,11070,"Tallulah, Louisiana"
642,22.5,629,"Fluker, Louisiana"
643,22.5,759,"Eolia, Kentucky"
644,22.5,2583,"French Creek, West Virginia"
645,22.5,6928,"Mount Hope, West Virginia"
646,22.5,627,"Glen Fork, West Virginia"
647,22.5,397,"Ravencliff, West Virginia"
648,22.5,999,"Davin, West Virginia"
649,22.5,20156,"Anniston, Alabama"
650,22.5,273,"Hellier, Kentucky"
651,22.5,27304,"Immokalee, Florida"
652,22.5,594,"Bramwell, West Virginia"
653,22.5,504,"Warbranch, Kentucky"
654,22.5,899,"Estherwood, Louisiana"
655,22.5,423,"Miami, West Virginia"
656,22.5,1717,"Edinboro, Pennsylvania"
657,22.5,207,"Gordon, West Virginia"
658,22.5,1093,"Bluff, Utah"
659,22.5,276,"Hooven, Ohio"
660,22.5,12177,"Ocala, Florida"
661,22.5,4225,"Hayti, Missouri"
662,22.5,8274,"Dearborn, Michigan"
663,22.4,2970,"Atlanta, Georgia"
664,22.4,207,"Revelo, Kentucky"
665,22.4,1575,"Newell, West Virginia"
666,22.4,19389,"Cincinnati, Ohio"
667,22.4,9758,"Fort Wayne, Indiana"
668,22.4,1577,"Mason, West Virginia"
669,22.4,309,"Fort Hall, Idaho"
670,22.4,313,"Coalton, Ohio"
671,22.4,221,"Slab Fork, West Virginia"
672,22.4,153,"Blair, West Virginia"
673,22.4,352,"Sextons Creek, Kentucky"
674,22.4,20197,"Springfield, Ohio"
675,22.4,460,"Krypton, Kentucky"
676,22.4,295,"Bryants Store, Kentucky"
677,22.4,13570,"Middlesboro, Kentucky"
678,22.4,547,"Verner, West Virginia"
679,22.4,20136,"Cleveland, Ohio"
680,22.4,2037,"Goodman, Mississippi"
681,22.4,343,"Trimble, Ohio"
682,22.4,1304,"Owyhee, Nevada"
683,22.4,148,"Roark, Kentucky"
684,22.4,295,"Varney, West Virginia"
685,22.4,1200,"Arnoldsburg, West Virginia"
686,22.4,942,"Taholah, Washington"
687,22.4,419,"Justice, West Virginia"
688,22.4,669,"Calvin, Kentucky"
689,22.4,1573,"Omaha, Nebraska"
690,22.4,691,"Fairdale, West Virginia"
691,22.4,1886,"Rupert, West Virginia"
692,22.4,339,"Surveyor, West Virginia"
693,22.4,3126,"Jellico, Tennessee"
694,22.4,494,"Jacksonville, Ohio"
695,22.4,1374,"Hotevilla, Arizona"
696,22.4,7669,"Pahokee, Florida"
697,22.3,1951,"Krotz Springs, Louisiana"
698,22.3,85,"Anvik, Alaska"
699,22.3,729,"Valley Head, West Virginia"
700,22.3,19694,"Louisville, Kentucky"
701,22.3,26063,"Philadelphia, Pennsylvania"
702,22.3,559,"Dayhoit, Kentucky"
703,22.3,1710,"Mill Creek, West Virginia"
704,22.3,1409,"Brenton, West Virginia"
705,22.3,272,"Louvale, Georgia"
706,22.3,1306,"Friars Point, Mississippi"
707,22.3,21989,"Clarkston, Georgia"
708,22.3,134,"Marshes Siding, Kentucky"
709,22.3,23958,"Toledo, Ohio"
710,22.3,722,"Royalton, Kentucky"
711,22.3,14638,"Durham, New Hampshire"
712,22.3,299,"Secondcreek, West Virginia"
713,22.3,2335,"Gallipolis Ferry, West Virginia"
714,22.3,607,"Mac Arthur, West Virginia"
715,22.3,2149,"Jacksonville, Florida"
716,22.3,1100,"Stinnett, Kentucky"
717,22.3,27712,"Detroit, Michigan"
718,22.3,748,"Girdler, Kentucky"
719,22.3,419,"Du Pont, Georgia"
720,22.3,41465,"Memphis, Tennessee"
721,22.3,443,"Glen Rogers, West Virginia"
722,22.3,4086,"Stearns, Kentucky"
723,22.3,2048,"Porcupine, South Dakota"
724,22.3,3575,"Mc Intosh, Alabama"
725,22.3,1227,"Man, West Virginia"
726,22.2,496,"Paguate, New Mexico"
727,22.2,447,"Heaters, West Virginia"
728,22.2,250,"Omaha, Georgia"
729,22.2,757,"Flatwoods, West Virginia"
730,22.2,21427,"Belle Glade, Florida"
731,22.2,263,"Berlin, Ohio"
732,22.2,32291,"Provo, Utah"
733,22.2,6514,"Kansas City, Missouri"
734,22.2,105,"Crooked Creek, Alaska"
735,22.2,2744,"Otway, Ohio"
736,22.2,3620,"Durant, Mississippi"
737,22.2,3056,"Harold, Kentucky"
738,22.2,123,"Prince, West Virginia"
739,22.2,780,"Manor, Georgia"
740,22.2,3811,"Canton, Ohio"
741,22.2,30926,"Flint, Michigan"
742,22.2,331,"Mermentau, Louisiana"
743,22.2,1268,"Langley, Kentucky"
744,22.2,31281,"Dayton, Ohio"
745,22.2,8895,"Canton, Ohio"
746,22.2,957,"Pablo, Montana"
747,22.2,642,"Henderson, West Virginia"
748,22.2,238,"Adams, Kentucky"
749,22.2,74,"Howard, Georgia"
750,22.2,3494,"Hoopa, California"
751,22.2,2214,"Jemez Pueblo, New Mexico"
752,22.2,17669,"Jacksonville, Florida"
753,22.2,695,"Columbia, South Carolina"
754,22.2,896,"Printer, Kentucky"
755,22.2,120,"Argyle, Georgia"
756,22.2,22020,"Atlanta, Georgia"
757,22.2,301,"Gulston, Kentucky"
758,22.2,18585,"Gainesville, Florida"
759,22.2,59,"Eagan, Tennessee"
760,22.1,321,"Linefork, Kentucky"
761,22.1,2326,"Strunk, Kentucky"
762,22.1,4492,"California, Pennsylvania"
763,22.1,14783,"Pembroke, North Carolina"
764,22.1,164,"Glen, West Virginia"
765,22.1,384,"Kearney, Nebraska"
766,22.1,1327,"Oneida, Kentucky"
767,22.1,1397,"Verdunville, West Virginia"
768,22.1,1417,"Glen Daniel, West Virginia"
769,22.1,4619,"Whitley City, Kentucky"
770,22.1,1355,"Pippa Passes, Kentucky"
771,22.1,15339,"Dayton, Ohio"
772,22.1,1000,"Clairfield, Tennessee"
773,22.1,4699,"Tarawa Terrace, North Carolina"
774,22.1,2245,"Kyle, South Dakota"
775,22.1,1211,"Wanblee, South Dakota"
776,22.1,121,"Trosper, Kentucky"
777,22.1,3917,"Chattanooga, Tennessee"
778,22.1,345,"Canalou, Missouri"
779,22.1,688,"Unalakleet, Alaska"
780,22.1,12186,"Fort Pierce, Florida"
781,22.1,11920,"Oak Hill, West Virginia"
782,22.1,1974,"Saint Joseph, Louisiana"
783,22.1,1690,"Luxora, Arkansas"
784,22.1,5037,"Branchland, West Virginia"
785,22.1,788,"Buckhorn, Kentucky"
786,22.1,891,"Piedmont, West Virginia"
787,22.1,19385,"Central Falls, Rhode Island"
788,22.1,150,"Odanah, Wisconsin"
789,22.1,11975,"Youngstown, Ohio"
790,22.1,1548,"Bledsoe, Kentucky"
791,22.1,4718,"Grambling, Louisiana"
792,22.1,60,"Beedeville, Arkansas"
793,22.1,165,"Slatyfork, West Virginia"
794,22.1,501,"Rogers, Kentucky"
795,22.1,4416,"Lawtey, Florida"
796,22.1,772,"Brockton, Montana"
797,22.1,7091,"Jackson, Mississippi"
798,22.1,11883,"Saint Louis, Montana"
799,22.0,6987,"Huron, California"
800,22.0,902,"Matoaka, West Virginia"
801,22.0,172,"Grays Knob, Kentucky"
802,22.0,6184,"Memphis, Tennessee"
803,22.0,109,"Amelia, Louisiana"
804,22.0,1798,"Montgomery, West Virginia"
805,22.0,29072,"Macon, Georgia"
806,22.0,2522,"Shelby, Mississippi"
807,22.0,203,"Tupelo, Arkansas"
808,22.0,55,"Raleigh, West Virginia"
809,22.0,3146,"Marked Tree, Arkansas"
810,22.0,1380,"Lower Brule, South Dakota"
811,22.0,381,"Carolina, West Virginia"
812,22.0,248,"Amagon, Arkansas"
813,22.0,793,"Kimball, West Virginia"
814,22.0,2943,"Morse, Louisiana"
815,22.0,782,"Lowmansville, Kentucky"
816,22.0,60675,"Philadelphia, Pennsylvania"
817,22.0,1055,"Walkersville, West Virginia"
818,22.0,620,"Beaver, Kentucky"
819,22.0,151,"Mary Alice, Kentucky"
820,22.0,30219,"Portsmouth, Ohio"
821,22.0,454,"Hacker Valley, West Virginia"
822,22.0,45014,"Cleveland, Ohio"
823,22.0,39417,"Columbia, Missouri"
824,22.0,534,"Melvin, Kentucky"
825,22.0,14822,"Louisville, Kentucky"
826,22.0,1011,"Lizemores, West Virginia"
827,22.0,401,"Belva, West Virginia"
828,22.0,1080,"Casa Blanca, New Mexico"
829,22.0,2264,"Tollesboro, Kentucky"
830,22.0,78,"Bypro, Kentucky"
831,22.0,309,"Layland, West Virginia"
832,22.0,40089,"Cleveland, Ohio"
833,22.0,445,"Shelby Gap, Kentucky"
834,22.0,784,"Bolt, West Virginia"
835,21.9,1871,"Waterflow, New Mexico"
836,21.9,368,"Page, West Virginia"
837,21.9,2489,"Fort Yates, North Dakota"
838,21.9,17327,"Pine Bluff, Arkansas"
839,21.9,401,"Grubbs, Arkansas"
840,21.9,808,"Kite, Kentucky"
841,21.9,9468,"Montgomery, Alabama"
842,21.9,608,"Idamay, West Virginia"
843,21.9,352,"Napier, West Virginia"
844,21.9,1956,"Gamerco, New Mexico"
845,21.9,9837,"Chapmanville, West Virginia"
846,21.9,22154,"Shreveport, Louisiana"
847,21.9,6772,"Louisville, Kentucky"
848,21.9,19206,"Crowley, Louisiana"
849,21.9,245,"Copen, West Virginia"
850,21.9,167,"Venetie, Alaska"
851,21.9,1679,"Scooba, Mississippi"
852,21.9,82,"Pickens, Arkansas"
853,21.9,720,"Weeksbury, Kentucky"
854,21.9,3838,"Basile, Louisiana"
855,21.9,4926,"South Bay, Florida"
856,21.9,200,"Gays Creek, Kentucky"
857,21.9,1251,"Foster, West Virginia"
858,21.9,362,"Morgan City, Mississippi"
859,21.9,459,"Canal Point, Florida"
860,21.9,486,"Mc Graws, West Virginia"
861,21.9,1273,"Axson, Georgia"
862,21.9,6416,"Springhill, Louisiana"
863,21.9,1454,"Rock Cave, West Virginia"
864,21.9,44439,"Detroit, Michigan"
865,21.9,1668,"Fort Duchesne, Utah"
866,21.9,22492,"Akron, Ohio"
867,21.9,1956,"Gamerco, New Mexico"
868,21.9,2539,"Winston Salem, North Carolina"
869,21.9,178,"Holy Cross, Alaska"
870,21.9,445,"Cannel City, Kentucky"
871,21.9,601,"Van, West Virginia"
872,21.9,2063,"Athens, West Virginia"
873,21.9,51808,"Philadelphia, Pennsylvania"
874,21.9,720,"Blackey, Kentucky"
875,21.9,12768,"Mecca, California"
876,21.9,17685,"Louisville, Kentucky"
877,21.9,80,"Siloam, Georgia"
878,21.8,672,"Gallagher, West Virginia"
879,21.8,336,"Laughlin AFB, Texas"
880,21.8,976,"Ashcamp, Kentucky"
881,21.8,952,"Topmost, Kentucky"
882,21.8,679,"Enterprise, West Virginia"
883,21.8,19468,"Jackson, Mississippi"
884,21.8,296,"Augusta, Georgia"
885,21.8,16696,"Pittsburgh, Pennsylvania"
886,21.8,5833,"Nauvoo, Alabama"
887,21.8,457,"Rarden, Ohio"
888,21.8,2729,"Pineville, West Virginia"
889,21.8,9431,"Nelsonville, Ohio"
890,21.8,4776,"Glouster, Ohio"
891,21.8,1104,"Littleton, West Virginia"
892,21.8,558,"Mount Zion, West Virginia"
893,21.8,204,"Smithburg, West Virginia"
894,21.8,418,"Bear Branch, Kentucky"
895,21.8,2009,"Boligee, Alabama"
896,21.8,734,"Wellpinit, Washington"
897,21.8,430,"Sandstone, West Virginia"
898,21.8,309,"Vandervoort, Arkansas"
899,21.8,2518,"Labadieville, Louisiana"
900,21.8,293,"Itmann, West Virginia"
901,21.8,827,"Hundred, West Virginia"
902,21.8,5801,"Clendenin, West Virginia"
903,21.8,245,"Macfarlan, West Virginia"
904,21.8,14886,"Charleston, West Virginia"
905,21.8,385,"Peoria, Illinois"
906,21.8,2973,"Pedro, Ohio"
907,21.8,1525,"Fort Thompson, South Dakota"
908,21.8,930,"Midway, West Virginia"
909,21.8,36964,"Champaign, Illinois"
910,21.8,18685,"Russellville, Arkansas"
911,21.8,3329,"Bremerton, Washington"
912,21.8,2685,"Sarepta, Louisiana"
913,21.8,725,"Ivel, Kentucky"
914,21.8,29999,"Parkersburg, West Virginia"
915,21.8,11088,"Erie, Pennsylvania"
916,21.8,114,"Lambrook, Arkansas"
917,21.8,1218,"Cairo, West Virginia"
918,21.8,1378,"Burnsville, West Virginia"
919,21.8,4645,"Port Barre, Louisiana"
920,21.8,233,"Elkfork, Kentucky"
921,21.8,31358,"Lafayette, Louisiana"
922,21.8,34044,"Indianapolis, Indiana"
923,21.8,437,"Camp Creek, West Virginia"
924,21.7,1565,"Parkers Lake, Kentucky"
925,21.7,6084,"Charleston, West Virginia"
926,21.7,445,"Crawford, West Virginia"
927,21.7,7819,"Apple Creek, Ohio"
928,21.7,1328,"Forkland, Alabama"
929,21.7,472,"Bradley, West Virginia"
930,21.7,584,"Swiss, West Virginia"
931,21.7,1170,"Elk Garden, West Virginia"
932,21.7,3158,"Winterhaven, California"
933,21.7,2496,"Rentz, Georgia"
934,21.7,743,"Heart Butte, Montana"
935,21.7,7025,"New Orleans, Louisiana"
936,21.7,713,"Newcomb, Tennessee"
937,21.7,27222,"Memphis, Tennessee"
938,21.7,4063,"Laguna, New Mexico"
939,21.7,69,"Chalkyitsik, Alaska"
940,21.7,871,"Orma, West Virginia"
941,21.7,1815,"Mc Dowell, Kentucky"
942,21.7,22941,"Tulsa, Oklahoma"
943,21.7,694,"Indore, West Virginia"
944,21.7,375,"Stephenson, West Virginia"
945,21.7,531,"Whiterocks, Utah"
946,21.7,426,"Boothville, Louisiana"
947,21.7,3603,"Webster Springs, West Virginia"
948,21.7,6159,"Campton, Kentucky"
949,21.7,1129,"Waterproof, Louisiana"
950,21.7,4559,"Ethridge, Tennessee"
951,21.7,5485,"East Bernstadt, Kentucky"
952,21.7,616,"Gunnison, Mississippi"
953,21.7,907,"Isleta, New Mexico"
954,21.7,2714,"Pioneer, Tennessee"
955,21.7,526,"Perkins, Georgia"
956,21.7,187,"Dille, West Virginia"
957,21.7,566,"Herndon, West Virginia"
958,21.7,22287,"Louisville, Kentucky"
959,21.7,20313,"Ville Platte, Louisiana"
960,21.7,656,"Oaks, Oklahoma"
961,21.7,27373,"Cleveland, Tennessee"
962,21.7,12610,"Rochester, New York"
963,21.7,734,"Sumner, Mississippi"
964,21.7,2381,"Buras, Louisiana"
965,21.7,585,"Fort Yukon, Alaska"
966,21.7,2499,"Baxter, Kentucky"
967,21.7,1072,"Isom, Kentucky"
968,21.7,1226,"Sledge, Mississippi"
969,21.7,15350,"Oklahoma City, Oklahoma"
970,21.7,3764,"Gray, Kentucky"
971,21.7,185,"Waiteville, West Virginia"
972,21.7,16498,"Warren, Ohio"
973,21.7,461,"Catherine, Alabama"
974,21.7,362,"Scotland, Georgia"
975,21.7,1621,"Erie, Pennsylvania"
976,21.6,20126,"Oklahoma City, Oklahoma"
977,21.6,64,"Crumrod, Arkansas"
978,21.6,1459,"Louisville, Alabama"
979,21.6,766,"Laurel Bloomery, Tennessee"
980,21.6,661,"Hometown, West Virginia"
981,21.6,16627,"Martin, Tennessee"
982,21.6,552,"Matheny, West Virginia"
983,21.6,128,"Saulsville, West Virginia"
984,21.6,11132,"Barbourville, Kentucky"
985,21.6,1694,"Fort Totten, North Dakota"
986,21.6,117,"Whiteoak, Missouri"
987,21.6,1293,"Kings Bay, Georgia"
988,21.6,9495,"Atlanta, Georgia"
989,21.6,636,"Huntsville, Alabama"
990,21.6,2771,"Charleston, West Virginia"
991,21.6,7752,"Spencer, West Virginia"
992,21.6,30844,"Pittsburgh, Pennsylvania"
993,21.6,117,"Twin Oaks, Oklahoma"
994,21.6,1120,"East Bank, West Virginia"
995,21.6,339,"Regina, Kentucky"
996,21.6,5352,"Elkhorn City, Kentucky"
997,21.6,34305,"Jacksonville, Florida"
998,21.6,27809,"Natchitoches, Louisiana"
999,21.6,390,"Stambaugh, Kentucky"
1000,21.6,1089,"Busby, Montana"
1001,21.6,74,"Empire, Louisiana"
1002,21.6,212,"Sturkie, Arkansas"
1003,21.6,1245,"Warfield, Kentucky"
1004,21.6,19225,"Anderson, Indiana"
1005,21.6,424,"Letcher, Kentucky"
1006,21.6,384,"Tram, Kentucky"
1007,21.6,114,"Wendover, Kentucky"
1008,21.6,7643,"Akron, Ohio"
1009,21.6,6106,"Mobile, Alabama"
1010,21.6,8396,"Oak Grove, Kentucky"
1011,21.6,2041,"Sunbright, Tennessee"
1012,21.6,7353,"Birmingham, Alabama"
1013,21.6,104,"Circle, Alaska"
1014,21.6,12350,"Springfield, Massachusetts"
1015,21.6,800,"Bancroft, West Virginia"
1016,21.6,1343,"Hueysville, Kentucky"
1017,21.6,16445,"Augusta, Georgia"
1018,21.6,2033,"Mullens, West Virginia"
1019,21.6,15342,"New Bedford, Massachusetts"
1020,21.6,4643,"Oklahoma City, Oklahoma"
1021,21.6,555,"Matthews, Georgia"
1022,21.6,1414,"Neah Bay, Washington"
1023,21.6,2469,"Guthrie, Kentucky"
1024,21.6,3978,"Luttrell, Tennessee"
1025,21.6,12136,"Madison, Wisconsin"
1026,21.6,14622,"Martinsburg, West Virginia"
1027,21.6,571,"Pratt, West Virginia"
1028,21.6,2850,"Roseland, Louisiana"
1029,21.6,5582,"Mamou, Louisiana"
1030,21.6,978,"Big Rock, Virginia"
1031,21.6,10798,"Lehigh Acres, Florida"
1032,21.6,8080,"Rowland, North Carolina"
1033,21.6,4547,"Elizabeth, West Virginia"
1034,21.6,494,"Petros, Tennessee"
1035,21.6,1134,"Five Points, California"
1036,21.6,104,"Edmondson, Arkansas"
1037,21.6,13209,"Mobile, Alabama"
1038,21.6,109,"Kanawha Head, West Virginia"
1039,21.6,1021,"Youngstown, Ohio"
1040,21.6,1509,"Wooton, Kentucky"
1041,21.6,259,"Darling, Mississippi"
1042,21.5,1214,"Liberty, West Virginia"
1043,21.5,21893,"Fort Smith, Arkansas"
1044,21.5,14335,"Lake Charles, Louisiana"
1045,21.5,131,"Thousandsticks, Kentucky"
1046,21.5,314,"Jacksonville, Florida"
1047,21.5,645,"Smithfield, West Virginia"
1048,21.5,349,"Handley, West Virginia"
1049,21.5,55,"Tad, West Virginia"
1050,21.5,11502,"Marksville, Louisiana"
1051,21.5,108,"Raven, Kentucky"
1052,21.5,947,"Muldraugh, Kentucky"
1053,21.5,21306,"Montgomery, Alabama"
1054,21.5,5858,"Toledo, Ohio"
1055,21.5,3688,"Helenwood, Tennessee"
1056,21.5,3846,"Madison, West Virginia"
1057,21.5,695,"Boiling Springs, North Carolina"
1058,21.5,2007,"Winfield, Tennessee"
1059,21.5,16441,"Huntington, West Virginia"
1060,21.5,36140,"Detroit, Michigan"
1061,21.5,62,"Gray Mountain, Arizona"
1062,21.5,27366,"Columbus, Ohio"
1063,21.5,575,"Flat Top, West Virginia"
1064,21.5,14468,"Hazlehurst, Georgia"
1065,21.5,488,"Eccles, West Virginia"
1066,21.5,891,"Togiak, Alaska"
1067,21.5,299,"Leslie, West Virginia"
1068,21.5,8761,"Macon, Georgia"
1069,21.5,500,"Pine Ridge, Kentucky"
1070,21.5,2980,"Tucson, Arizona"
1071,21.5,923,"Coal Hill, Arkansas"
1072,21.5,1141,"Briceville, Tennessee"
1073,21.5,984,"Hi Hat, Kentucky"
1074,21.5,337,"Jesse, West Virginia"
1075,21.5,3556,"Hyden, Kentucky"
1076,21.5,1664,"Melville, Louisiana"
1077,21.5,739,"Hernshaw, West Virginia"
1078,21.5,1213,"Loyall, Kentucky"
1079,21.5,3471,"Waynesville, Georgia"
1080,21.5,1826,"Waco, Texas"
1081,21.5,182,"Helen, West Virginia"
1082,21.5,5150,"Clayton, Alabama"
1083,21.5,14972,"Middlefield, Ohio"
1084,21.5,10957,"Jackson, Kentucky"
1085,21.5,109,"Burdine, Kentucky"
1086,21.4,746,"Lovejoy, Illinois"
1087,21.4,1059,"Gap Mills, West Virginia"
1088,21.4,1429,"Altamont, Tennessee"
1089,21.4,443,"Manokotak, Alaska"
1090,21.4,25168,"Flint, Michigan"
1091,21.4,5150,"Harlan, Kentucky"
1092,21.4,9208,"Canton, Ohio"
1093,21.4,3851,"Baltic, Ohio"
1094,21.4,32376,"Little Rock, Arkansas"
1095,21.4,1953,"Kansas City, Missouri"
1096,21.4,20786,"Bluefield, West Virginia"
1097,21.4,8606,"Osceola, Arkansas"
1098,21.4,475,"Waterloo, Ohio"
1099,21.4,9630,"Houghton, Michigan"
1100,21.4,5105,"Toledo, Ohio"
1101,21.4,2939,"Appalachia, Virginia"
1102,21.4,278,"Venice, Louisiana"
1103,21.4,4615,"Dearing, Georgia"
1104,21.4,249,"Ragland, West Virginia"
1105,21.4,139,"Elbert, West Virginia"
1106,21.4,4898,"Sutton, West Virginia"
1107,21.4,1005,"Sinks Grove, West Virginia"
1108,21.4,659,"Littcarr, Kentucky"
1109,21.4,27997,"Detroit, Michigan"
1110,21.4,26069,"West Memphis, Arkansas"
1111,21.4,1475,"Lester, West Virginia"
1112,21.4,654,"Gainesville, Alabama"
1113,21.4,1498,"Banner, Kentucky"
1114,21.4,2018,"Gruetli Laager, Tennessee"
1115,21.4,1559,"Blue Creek, Ohio"
1116,21.4,479,"Metz, West Virginia"
1117,21.4,11611,"Springfield, Massachusetts"
1118,21.4,1111,"Palmetto, Louisiana"
1119,21.4,5726,"Cuthbert, Georgia"
1120,21.4,289,"Sondheimer, Louisiana"
1121,21.4,11979,"Salyersville, Kentucky"
1122,21.4,599,"Drift, Kentucky"
1123,21.4,20594,"Columbia, South Carolina"
1124,21.4,5753,"Pixley, California"
1125,21.4,8300,"Crossville, Alabama"
1126,21.4,310,"Yolyn, West Virginia"
1127,21.4,34610,"Rexburg, Idaho"
1128,21.4,2084,"Smicksburg, Pennsylvania"
1129,21.4,746,"Lovejoy, Illinois"
1130,21.4,1932,"San Bernardino, California"
1131,21.4,16303,"Peoria, Illinois"
1132,21.4,640,"Chavies, Kentucky"
1133,21.4,1679,"Viola, Arkansas"
1134,21.4,15708,"Chaparral, New Mexico"
1135,21.4,2048,"Altus, Arkansas"
1136,21.3,7692,"Schenectady, New York"
1137,21.3,120,"Daisy, Georgia"
1138,21.3,329,"Dwale, Kentucky"
1139,21.3,356,"Rock View, West Virginia"
1140,21.3,4264,"Grady, Arkansas"
1141,21.3,21251,"Tuscaloosa, Alabama"
1142,21.3,2217,"Ola, Arkansas"
1143,21.3,360,"Tokio, North Dakota"
1144,21.3,15436,"Fort Pierce, Florida"
1145,21.3,4015,"Tutwiler, Mississippi"
1146,21.3,5383,"Alderson, West Virginia"
1147,21.3,32084,"Daytona Beach, Florida"
1148,21.3,14343,"Winnsboro, Louisiana"
1149,21.3,1090,"Birch River, West Virginia"
1150,21.3,3583,"Tipton, California"
1151,21.3,4106,"Muncie, Indiana"
1152,21.3,544,"Bluffton, Georgia"
1153,21.3,267,"Williamsburg, Virginia"
1154,21.3,537,"Hallie, Kentucky"
1155,21.3,10097,"Folkston, Georgia"
1156,21.3,444,"Kincaid, West Virginia"
1157,21.3,440,"Mount Carbon, West Virginia"
1158,21.3,575,"Bickmore, West Virginia"
1159,21.3,2870,"Gaylesville, Alabama"
1160,21.3,851,"Charmco, West Virginia"
1161,21.3,1421,"Wallace, West Virginia"
1162,21.3,802,"Ferguson, Kentucky"
1163,21.3,6177,"Binghamton, New York"
1164,21.3,11467,"Newport, Arkansas"
1165,21.3,5031,"Sneedville, Tennessee"
1166,21.3,677,"Mize, Kentucky"
1167,21.3,960,"Palestine, West Virginia"
1168,21.3,57,"Glen Allen, Alabama"
1169,21.3,11467,"Newport, Arkansas"
1170,21.3,1597,"Cedarville, Arkansas"
1171,21.3,66,"Freeman, West Virginia"
1172,21.3,1935,"Kensett, Arkansas"
1173,21.3,294,"Saint Louis, Missouri"
1174,21.3,625,"Scotland, Arkansas"
1175,21.3,24307,"Pontiac, Michigan"
1176,21.3,20112,"Big Rapids, Michigan"
1177,21.3,7698,"Millen, Georgia"
1178,21.3,865,"Reader, West Virginia"
1179,21.3,908,"Wayland, Kentucky"
1180,21.3,264,"Amma, West Virginia"
1181,21.3,595,"Wallback, West Virginia"
1182,21.3,397,"Sassafras, Kentucky"
1183,21.3,898,"Millwood, West Virginia"
1184,21.3,3834,"Mission, South Dakota"
1185,21.3,741,"Smilax, Kentucky"
1186,21.3,51,"Rome, New York"
1187,21.3,702,"Franklin, Alabama"
1188,21.3,4796,"Hortense, Georgia"
1189,21.3,1230,"Garrett, Kentucky"
1190,21.3,2631,"Martin, Kentucky"
1191,21.2,15228,"Huntsville, Alabama"
1192,21.2,6577,"Bald Knob, Arkansas"
1193,21.2,730,"Pine Lake, Georgia"
1194,21.2,435,"Lynx, Ohio"
1195,21.2,1184,"Hazel Green, Kentucky"
1196,21.2,13643,"Selma, Alabama"
1197,21.2,546,"Orlando, West Virginia"
1198,21.2,947,"Yeaddiss, Kentucky"
1199,21.2,480,"Petroleum, West Virginia"
1200,21.2,1699,"Monterey, Louisiana"
1201,21.2,5570,"Belington, West Virginia"
1202,21.2,2314,"Windsor, Ohio"
1203,21.2,33857,"Atlanta, Georgia"
1204,21.2,12639,"Kansas City, Missouri"
1205,21.2,3067,"Hoxie, Arkansas"
1206,21.2,35015,"Waco, Texas"
1207,21.2,889,"Beersheba Springs, Tennessee"
1208,21.2,2663,"Meadow Bridge, West Virginia"
1209,21.2,587,"Smithville, West Virginia"
1210,21.2,1120,"Cardwell, Missouri"
1211,21.2,1135,"Thornton, West Virginia"
1212,21.2,2149,"Hartman, Arkansas"
1213,21.2,4898,"Pearson, Georgia"
1214,21.2,3255,"Charleston, West Virginia"
1215,21.2,2741,"Washburn, Tennessee"
1216,21.2,8007,"Waco, Texas"
1217,21.2,2353,"Port Sulphur, Louisiana"
1218,21.2,45380,"Detroit, Michigan"
1219,21.2,510,"New Stuyahok, Alaska"
1220,21.2,477,"Big Creek, West Virginia"
1221,21.2,63786,"Fort Lauderdale, Florida"
1222,21.2,31978,"Warren, Michigan"
1223,21.2,2647,"Meigs, Georgia"
1224,21.2,6640,"Wayne, West Virginia"
1225,21.2,798,"Mallie, Kentucky"
1226,21.2,781,"Sale City, Georgia"
1227,21.2,4671,"Mc Gehee, Arkansas"
1228,21.2,3515,"West Farmington, Ohio"
1229,21.2,56,"Munday, West Virginia"
1230,21.2,2338,"Lorman, Mississippi"
1231,21.2,78,"Portsmouth, Virginia"
1232,21.2,40646,"Cleveland, Ohio"
1233,21.2,590,"Belcher, Kentucky"
1234,21.2,1686,"Sunflower, Mississippi"
1235,21.2,2932,"Drew, Mississippi"
1236,21.2,12997,"Montgomery, Alabama"
1237,21.2,1370,"Langston, Oklahoma"
1238,21.2,1955,"Watauga, Tennessee"
